,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
24250,SPT43549,2018,True,1226,,Nigeria,NG,Adamawa,Adamawa,undetermined,sensitive,undetermined,undetermined,resistant,resistant
21068,SPT34533,2018,True,1241,,Ghana,GH,Eastern,Eastern,undetermined,sensitive,undetermined,undetermined,resistant,resistant
25122,SPT45099,2018,True,1168,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
24689,SPT44348,2018,True,1168,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
23234,SPT40935,2018,True,1168,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
22181,SPT36361,2018,True,1168,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,undetermined,resistant
21210,SPT34713,2018,True,1241,,Ghana,GH,Greater Accra,Greater Accra,sensitive,sensitive,undetermined,undetermined,resistant,resistant
28914,SPT67473,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,resistant,resistant
29071,SPT67639,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,sensitive,resistant
29244,SPT67822,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,undetermined,sensitive,undetermined,undetermined,resistant,resistant
29481,SPT70650,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,undetermined,undetermined,undetermined,sensitive,resistant
28899,SPT67458,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,undetermined,resistant
28892,SPT67451,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29005,SPT67570,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,sensitive,resistant
