,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
25751,SPT50307,2013,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,undetermined,undetermined,resistant,resistant
26301,SPT50886,2013,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
26297,SPT50882,2013,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2220,PE0445-C,2013,True,1095,,Tanzania,TZ,Lindi,Lindi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
7911,QS0116-C,2013,True,1098,,Ethiopia,ET,Oromia,Oromia,sensitive,resistant,sensitive,sensitive,resistant,resistant
2056,PE0218-C,2013,True,1095,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
851,PC0305-C,2014,True,1107,,Kenya,KE,Kisumu,Kisumu,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17179,SPT15851,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17173,SPT15832,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
16979,SPT15591,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
17127,SPT15756,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17028,SPT15646,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
16940,SPT15548,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17096,SPT15721,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
808,PC0193-C,2014,True,1107,,Kenya,KE,Kisumu,Kisumu,sensitive,sensitive,sensitive,sensitive,resistant,resistant
845,PC0288-C,2014,True,1107,,Kenya,KE,Kisumu,Kisumu,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16982,SPT15594,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,undetermined,sensitive,undetermined,undetermined,resistant,sensitive
17195,SPT15869,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,undetermined,sensitive,sensitive,resistant,resistant
25776,SPT50333,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
822,PC0232-C,2014,True,1107,,Kenya,KE,Kisumu,Kisumu,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16997,SPT15614,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
25782,SPT50339,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17185,SPT15857,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16890,SPT15389,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16949,SPT15558,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
25793,SPT50350,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17155,SPT15800,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
850,PC0302-C,2014,True,1107,,Kenya,KE,Kisumu,Kisumu,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17092,SPT15717,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,resistant,sensitive,sensitive,resistant,resistant
17036,SPT15655,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,undetermined,undetermined,undetermined,undetermined,resistant,resistant
16876,SPT15342,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
820,PC0229-C,2014,True,1107,,Kenya,KE,Kisumu,Kisumu,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17176,SPT15846,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16941,SPT15549,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,undetermined
17159,SPT15807,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25783,SPT50340,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17075,SPT15700,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,undetermined,undetermined,resistant,resistant
17051,SPT15670,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
16919,SPT15522,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,undetermined,sensitive,sensitive,resistant,resistant
16900,SPT15446,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16916,SPT15516,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
16999,SPT15616,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
17154,SPT15799,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25794,SPT50351,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17133,SPT15766,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
17131,SPT15764,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
16909,SPT15483,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17035,SPT15654,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
16911,SPT15491,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25672,SPT50226,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
16888,SPT15381,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
825,PC0245-C,2014,True,1107,,Kenya,KE,Kisumu,Kisumu,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17019,SPT15637,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,resistant,undetermined,undetermined,resistant,resistant
17106,SPT15731,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17031,SPT15650,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
17012,SPT15630,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,sensitive,resistant,undetermined
16867,SPT15325,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17041,SPT15660,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
17130,SPT15761,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17011,SPT15628,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
25680,SPT50234,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,resistant,sensitive,sensitive,resistant,sensitive
17022,SPT15640,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,sensitive
16977,SPT15589,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
16962,SPT15571,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,undetermined,sensitive,undetermined,undetermined,resistant,resistant
16955,SPT15564,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
17002,SPT15619,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
17064,SPT15688,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,undetermined,undetermined,resistant,resistant
25673,SPT50227,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17039,SPT15658,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
16996,SPT15612,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,undetermined,undetermined,undetermined,resistant,resistant
26070,SPT50638,2014,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
17147,SPT15787,2014,True,1167,,Tanzania,TZ,Tanga,Tanga,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
16864,SPT15304,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16956,SPT15565,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,undetermined
16925,SPT15532,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,undetermined,sensitive,undetermined,undetermined,resistant,undetermined
16971,SPT15580,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,sensitive,undetermined,undetermined,resistant,resistant
17009,SPT15626,2014,True,1167,,Tanzania,TZ,Kigoma,Kigoma,sensitive,undetermined,undetermined,undetermined,resistant,resistant
25802,SPT50359,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26080,SPT50648,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,undetermined,sensitive,sensitive,resistant,resistant
16245,SPT00899,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,resistant,sensitive,sensitive,resistant,resistant
22654,SPT38447,2015,True,1247,,Sudan,SD,Khartoum,Khartoum,undetermined,resistant,undetermined,undetermined,resistant,resistant
